;infix;prefix;conclusion
1138;( ( 3 or 3 ) or ( 4 and 3 ) );or or 3 3 and 4 3;3
1139;( 5 and ( 2 or 5 ) );and 5 or 2 5;5
1140;( ( 4 and 2 ) or ( 5 and 4 ) );or and 4 2 and 5 4;4
1141;( 5 and ( 4 or 5 ) );and 5 or 4 5;5
1142;( ( 1 and 4 ) or ( 5 and 4 ) );or and 1 4 and 5 4;4
1143;( ( 4 and 5 ) or ( 4 and 1 ) );or and 4 5 and 4 1;4
1144;( ( 1 and 5 ) or ( 4 and 1 ) );or and 1 5 and 4 1;1
1145;( ( 2 and 3 ) or ( 3 and 4 ) );or and 2 3 and 3 4;3
1146;( ( 4 or 4 ) or ( 4 and 5 ) );or or 4 4 and 4 5;4
1147;( ( 4 and 2 ) or ( 5 and 2 ) );or and 4 2 and 5 2;2
1148;( ( 3 and 5 ) or 3 );or and 3 5 3;3
1149;( 4 or ( 4 and 3 ) );or 4 and 4 3;4
1150;( ( 2 and 1 ) or ( 3 and 1 ) );or and 2 1 and 3 1;1
1151;( ( 5 and 4 ) or ( 4 and 2 ) );or and 5 4 and 4 2;4
1152;( ( 4 and 3 ) or ( 5 and 3 ) );or and 4 3 and 5 3;3
1153;( ( 5 and 2 ) or ( 2 and 2 ) );or and 5 2 and 2 2;2
1154;( ( 3 and 3 ) or ( 3 and 1 ) );or and 3 3 and 3 1;3
1155;( ( 3 and 5 ) or ( 4 and 3 ) );or and 3 5 and 4 3;3
1156;( ( 1 or 4 ) and 1 );and or 1 4 1;1
1157;( ( 4 and 3 ) or ( 4 or 4 ) );or and 4 3 or 4 4;4
1158;( ( 4 or 4 ) or ( 4 and 4 ) );or or 4 4 and 4 4;4
1159;( ( 4 and 5 ) or ( 4 or 4 ) );or and 4 5 or 4 4;4
1160;( ( 2 or 4 ) and ( 5 or 5 ) );and or 2 4 or 5 5;5
1161;( ( 3 and 3 ) and ( 2 or 5 ) );and and 3 3 or 2 5;3
1162;( ( 1 and 4 ) or ( 2 and 1 ) );or and 1 4 and 2 1;1
1163;( ( 4 and 2 ) or ( 2 and 2 ) );or and 4 2 and 2 2;2
1164;( ( 1 and 2 ) or ( 1 and 5 ) );or and 1 2 and 1 5;1
1165;( ( 1 or 4 ) and 5 );and or 1 4 5;5
1166;( ( 5 and 5 ) and ( 2 or 3 ) );and and 5 5 or 2 3;5
1167;( ( 4 or 4 ) and ( 3 or 4 ) );and or 4 4 or 3 4;4
1168;( ( 5 or 4 ) and ( 5 and 5 ) );and or 5 4 and 5 5;5
1169;( ( 2 or 5 ) and 4 );and or 2 5 4;4
1170;( ( 4 or 3 ) and ( 1 and 1 ) );and or 4 3 and 1 1;1
1171;( ( 5 and 1 ) or ( 3 and 5 ) );or and 5 1 and 3 5;5
1172;( ( 4 and 4 ) and ( 5 or 3 ) );and and 4 4 or 5 3;4
1173;( ( 1 and 5 ) or ( 1 or 1 ) );or and 1 5 or 1 1;1
1174;( ( 3 and 3 ) or ( 3 or 3 ) );or and 3 3 or 3 3;3
1175;( ( 4 or 4 ) and ( 5 or 1 ) );and or 4 4 or 5 1;4
1176;( ( 4 or 5 ) and ( 4 and 4 ) );and or 4 5 and 4 4;4
1177;( ( 2 and 1 ) or 2 );or and 2 1 2;2
1178;( 2 or ( 2 and 5 ) );or 2 and 2 5;2
1179;( ( 5 or 5 ) and ( 4 or 1 ) );and or 5 5 or 4 1;5
1180;( ( 4 or 1 ) and 4 );and or 4 1 4;4
1181;( 5 and ( 2 or 1 ) );and 5 or 2 1;5
1182;( ( 1 or 1 ) and ( 3 or 5 ) );and or 1 1 or 3 5;1
1183;( ( 2 or 3 ) and 2 );and or 2 3 2;2
1184;( ( 4 and 4 ) and ( 5 or 4 ) );and and 4 4 or 5 4;4
1185;( ( 3 and 2 ) or ( 4 and 2 ) );or and 3 2 and 4 2;2
1186;( ( 1 or 1 ) and ( 2 or 1 ) );and or 1 1 or 2 1;1
1187;( ( 3 and 5 ) or ( 3 and 3 ) );or and 3 5 and 3 3;3
1188;( ( 1 and 4 ) or ( 1 and 1 ) );or and 1 4 and 1 1;1
1189;( ( 2 or 3 ) and ( 3 or 3 ) );and or 2 3 or 3 3;3
1190;( ( 1 and 4 ) or 4 );or and 1 4 4;4
1191;( ( 2 and 5 ) or ( 5 and 5 ) );or and 2 5 and 5 5;5
1192;( ( 4 and 1 ) or ( 1 and 5 ) );or and 4 1 and 1 5;1
1193;( ( 5 and 5 ) or ( 5 and 5 ) );or and 5 5 and 5 5;5
1194;( ( 1 or 5 ) and ( 4 and 4 ) );and or 1 5 and 4 4;4
1195;( ( 3 and 1 ) or ( 2 and 1 ) );or and 3 1 and 2 1;1
1196;( ( 2 or 4 ) and ( 1 or 1 ) );and or 2 4 or 1 1;1
1197;( ( 4 and 4 ) or ( 4 and 1 ) );or and 4 4 and 4 1;4
1198;( ( 1 and 4 ) or ( 3 and 1 ) );or and 1 4 and 3 1;1
1199;( ( 4 or 2 ) and ( 1 or 1 ) );and or 4 2 or 1 1;1
1200;( ( 2 or 2 ) or ( 2 and 1 ) );or or 2 2 and 2 1;2
1201;( ( 1 or 5 ) and ( 5 or 5 ) );and or 1 5 or 5 5;5
1202;( ( 1 and 1 ) and ( 1 or 3 ) );and and 1 1 or 1 3;1
1203;( ( 1 or 2 ) and 3 );and or 1 2 3;3
1204;( 4 and ( 2 or 3 ) );and 4 or 2 3;4
1205;( ( 4 and 3 ) or ( 3 and 1 ) );or and 4 3 and 3 1;3
1206;( ( 3 or 3 ) and ( 3 or 4 ) );and or 3 3 or 3 4;3
1207;( ( 5 and 1 ) or ( 5 and 3 ) );or and 5 1 and 5 3;5
1208;( ( 2 and 2 ) and ( 3 or 1 ) );and and 2 2 or 3 1;2
1209;( ( 2 and 3 ) or ( 3 or 3 ) );or and 2 3 or 3 3;3
1210;( ( 2 or 4 ) and ( 4 and 4 ) );and or 2 4 and 4 4;4
1211;( ( 5 and 5 ) and ( 4 or 5 ) );and and 5 5 or 4 5;5
1212;( ( 4 and 4 ) and ( 5 or 1 ) );and and 4 4 or 5 1;4
1213;( ( 1 and 4 ) or ( 4 and 3 ) );or and 1 4 and 4 3;4
1214;( ( 3 or 4 ) and ( 2 or 2 ) );and or 3 4 or 2 2;2
1215;( ( 3 and 5 ) or ( 3 and 4 ) );or and 3 5 and 3 4;3
1216;( ( 5 and 2 ) or ( 5 and 1 ) );or and 5 2 and 5 1;5
1217;( ( 2 and 4 ) or ( 4 and 4 ) );or and 2 4 and 4 4;4
1218;( ( 4 or 2 ) and 1 );and or 4 2 1;1
1219;( ( 2 or 4 ) and ( 3 or 3 ) );and or 2 4 or 3 3;3
1220;( ( 3 and 2 ) or ( 2 and 4 ) );or and 3 2 and 2 4;2
1221;( 1 or 1 );or 1 1;1
1222;( ( 4 or 5 ) and ( 2 and 2 ) );and or 4 5 and 2 2;2
1223;( ( 3 or 4 ) and ( 3 or 3 ) );and or 3 4 or 3 3;3
1224;( ( 5 or 5 ) or ( 3 and 5 ) );or or 5 5 and 3 5;5
1225;( ( 5 and 5 ) or ( 1 and 5 ) );or and 5 5 and 1 5;5
1226;( ( 1 or 1 ) and ( 2 or 3 ) );and or 1 1 or 2 3;1
1227;( ( 1 and 3 ) or ( 2 and 3 ) );or and 1 3 and 2 3;3
1228;( ( 3 or 2 ) and ( 3 and 3 ) );and or 3 2 and 3 3;3
1229;( ( 3 or 3 ) or ( 2 and 3 ) );or or 3 3 and 2 3;3
1230;( ( 5 and 5 ) and ( 2 or 5 ) );and and 5 5 or 2 5;5
1231;( ( 4 or 2 ) and ( 5 or 5 ) );and or 4 2 or 5 5;5
1232;( ( 2 and 2 ) or ( 5 and 2 ) );or and 2 2 and 5 2;2
1233;( ( 5 and 1 ) or ( 1 and 3 ) );or and 5 1 and 1 3;1
1234;( ( 3 and 1 ) or ( 1 or 1 ) );or and 3 1 or 1 1;1
1235;( ( 5 and 3 ) or ( 2 and 3 ) );or and 5 3 and 2 3;3
1236;( ( 3 or 1 ) and 3 );and or 3 1 3;3
1237;( ( 2 and 4 ) or ( 4 and 5 ) );or and 2 4 and 4 5;4
1238;( 1 and ( 2 or 1 ) );and 1 or 2 1;1
1239;( ( 2 or 5 ) and ( 1 and 1 ) );and or 2 5 and 1 1;1
1240;( ( 4 or 3 ) and ( 5 and 5 ) );and or 4 3 and 5 5;5
1241;( ( 3 and 1 ) or ( 1 and 5 ) );or and 3 1 and 1 5;1
1242;( ( 2 or 1 ) and 4 );and or 2 1 4;4
1243;( ( 1 or 4 ) and ( 5 and 5 ) );and or 1 4 and 5 5;5
1244;( ( 1 and 4 ) or ( 1 and 5 ) );or and 1 4 and 1 5;1
1245;( ( 3 and 3 ) or ( 5 and 3 ) );or and 3 3 and 5 3;3
1246;( ( 5 or 3 ) and 5 );and or 5 3 5;5
1247;( ( 3 and 3 ) and ( 3 or 5 ) );and and 3 3 or 3 5;3
1248;( ( 5 or 4 ) and ( 4 or 4 ) );and or 5 4 or 4 4;4
1249;( ( 5 and 1 ) or ( 2 and 5 ) );or and 5 1 and 2 5;5
1250;( 5 and ( 1 or 2 ) );and 5 or 1 2;5
1251;( ( 1 and 2 ) or ( 4 and 2 ) );or and 1 2 and 4 2;2
1252;( ( 2 and 1 ) or ( 2 and 4 ) );or and 2 1 and 2 4;2
1253;( ( 2 and 3 ) or 2 );or and 2 3 2;2
1254;( ( 5 and 5 ) and ( 3 or 1 ) );and and 5 5 or 3 1;5
1255;( ( 5 and 2 ) or ( 5 and 4 ) );or and 5 2 and 5 4;5
1256;( ( 2 and 3 ) or ( 3 and 3 ) );or and 2 3 and 3 3;3
1257;( ( 4 and 4 ) and ( 4 or 5 ) );and and 4 4 or 4 5;4
1258;( ( 1 and 1 ) and ( 4 or 3 ) );and and 1 1 or 4 3;1
1259;( 5 and ( 1 or 5 ) );and 5 or 1 5;5
1260;( ( 3 or 2 ) and ( 3 or 3 ) );and or 3 2 or 3 3;3
1261;( ( 4 or 5 ) and ( 3 or 3 ) );and or 4 5 or 3 3;3
1262;( 1 and ( 1 and 1 ) );and 1 and 1 1;1
1263;( ( 2 and 5 ) or ( 4 and 5 ) );or and 2 5 and 4 5;5
1264;( ( 5 or 5 ) or ( 5 and 4 ) );or or 5 5 and 5 4;5
1265;( ( 4 or 3 ) and ( 5 or 5 ) );and or 4 3 or 5 5;5
1266;( 3 and ( 5 or 3 ) );and 3 or 5 3;3
1267;( ( 3 or 3 ) or ( 5 and 3 ) );or or 3 3 and 5 3;3
1268;( ( 2 or 1 ) and ( 2 and 2 ) );and or 2 1 and 2 2;2
1269;( ( 2 and 2 ) and ( 2 or 1 ) );and and 2 2 or 2 1;2
1270;( ( 1 or 2 ) and ( 4 and 4 ) );and or 1 2 and 4 4;4
1271;( ( 4 or 3 ) and ( 3 or 3 ) );and or 4 3 or 3 3;3
1272;( ( 1 and 1 ) and ( 5 or 1 ) );and and 1 1 or 5 1;1
1273;( ( 5 and 2 ) or ( 3 and 2 ) );or and 5 2 and 3 2;2
1274;( ( 2 and 3 ) or ( 2 and 2 ) );or and 2 3 and 2 2;2
1275;( ( 1 or 5 ) and ( 1 or 1 ) );and or 1 5 or 1 1;1
1276;( ( 2 and 1 ) or ( 4 and 1 ) );or and 2 1 and 4 1;1
1277;( ( 4 and 1 ) or ( 2 and 1 ) );or and 4 1 and 2 1;1
1278;( ( 1 or 3 ) and ( 1 or 1 ) );and or 1 3 or 1 1;1
1279;( 3 and ( 2 or 1 ) );and 3 or 2 1;3
1280;( ( 2 or 4 ) and ( 2 or 2 ) );and or 2 4 or 2 2;2
1281;( ( 2 and 2 ) and ( 2 or 2 ) );and and 2 2 or 2 2;2
1282;( ( 5 or 5 ) and ( 5 or 3 ) );and or 5 5 or 5 3;5
1283;( ( 1 and 5 ) or ( 2 and 1 ) );or and 1 5 and 2 1;1
1284;( ( 4 and 2 ) or ( 1 and 2 ) );or and 4 2 and 1 2;2
1285;( ( 3 or 2 ) and ( 5 and 5 ) );and or 3 2 and 5 5;5
1286;( ( 2 and 1 ) or ( 1 and 4 ) );or and 2 1 and 1 4;1
1287;( ( 2 or 3 ) and ( 4 and 4 ) );and or 2 3 and 4 4;4
1288;( ( 4 or 1 ) and ( 5 or 5 ) );and or 4 1 or 5 5;5
1289;( ( 2 and 2 ) or ( 2 and 4 ) );or and 2 2 and 2 4;2
1290;( ( 4 and 1 ) or ( 4 and 4 ) );or and 4 1 and 4 4;4
1291;( ( 4 or 4 ) and 4 );and or 4 4 4;4
1292;( ( 3 or 1 ) and ( 4 or 4 ) );and or 3 1 or 4 4;4
1293;( ( 5 and 5 ) and ( 1 or 4 ) );and and 5 5 or 1 4;5
1294;( ( 5 or 4 ) and ( 4 and 4 ) );and or 5 4 and 4 4;4
1295;( ( 2 or 5 ) and ( 5 or 5 ) );and or 2 5 or 5 5;5
1296;( ( 3 and 3 ) or ( 3 and 2 ) );or and 3 3 and 3 2;3
1297;( 4 and ( 2 or 1 ) );and 4 or 2 1;4
1298;( ( 4 and 5 ) or ( 3 and 5 ) );or and 4 5 and 3 5;5
1299;( ( 5 or 5 ) and ( 3 or 5 ) );and or 5 5 or 3 5;5
1300;( ( 5 or 3 ) and ( 1 and 1 ) );and or 5 3 and 1 1;1
1301;( ( 4 or 3 ) and ( 2 or 2 ) );and or 4 3 or 2 2;2
1302;( ( 4 and 5 ) or 4 );or and 4 5 4;4
1303;( ( 3 and 1 ) or ( 1 and 4 ) );or and 3 1 and 1 4;1
1304;( ( 1 and 5 ) or ( 3 and 5 ) );or and 1 5 and 3 5;5
1305;( ( 3 or 3 ) and ( 3 and 3 ) );and or 3 3 and 3 3;3
1306;( ( 5 or 4 ) and ( 5 or 5 ) );and or 5 4 or 5 5;5
1307;( ( 1 and 1 ) and ( 1 or 1 ) );and and 1 1 or 1 1;1
1308;( ( 3 and 4 ) or ( 3 or 3 ) );or and 3 4 or 3 3;3
1309;( ( 2 or 3 ) and ( 2 or 2 ) );and or 2 3 or 2 2;2
1310;( ( 5 and 5 ) and ( 5 or 4 ) );and and 5 5 or 5 4;5
1311;( ( 1 and 3 ) or ( 3 and 2 ) );or and 1 3 and 3 2;3
1312;( ( 5 or 3 ) and 4 );and or 5 3 4;4
1313;( ( 3 or 4 ) and ( 5 and 5 ) );and or 3 4 and 5 5;5
1314;( ( 2 and 3 ) or ( 2 and 4 ) );or and 2 3 and 2 4;2
1315;( ( 2 or 2 ) and ( 4 or 2 ) );and or 2 2 or 4 2;2
1316;( ( 5 and 5 ) or ( 5 and 4 ) );or and 5 5 and 5 4;5
1317;( 1 and ( 1 or 5 ) );and 1 or 1 5;1
1318;( ( 1 or 1 ) and ( 1 or 4 ) );and or 1 1 or 1 4;1
1319;( ( 3 and 2 ) or ( 1 and 3 ) );or and 3 2 and 1 3;3
1320;( ( 3 or 1 ) and ( 1 or 1 ) );and or 3 1 or 1 1;1
1321;( ( 1 and 1 ) and ( 4 or 5 ) );and and 1 1 or 4 5;1
1322;( ( 3 and 1 ) or ( 1 and 2 ) );or and 3 1 and 1 2;1
1323;( ( 3 or 3 ) and ( 3 or 1 ) );and or 3 3 or 3 1;3
1324;( ( 2 and 2 ) and ( 3 or 4 ) );and and 2 2 or 3 4;2
1325;( 5 or ( 2 and 5 ) );or 5 and 2 5;5
1326;( ( 4 or 4 ) or ( 4 or 4 ) );or or 4 4 or 4 4;4
1327;( ( 3 or 2 ) and ( 5 or 5 ) );and or 3 2 or 5 5;5
1328;( ( 5 or 2 ) and ( 5 and 5 ) );and or 5 2 and 5 5;5
1329;( ( 2 and 5 ) or ( 4 and 2 ) );or and 2 5 and 4 2;2
1330;( ( 3 or 3 ) and ( 3 or 2 ) );and or 3 3 or 3 2;3
1331;( ( 1 and 4 ) or ( 4 and 4 ) );or and 1 4 and 4 4;4
1332;( ( 3 or 3 ) and ( 1 or 2 ) );and or 3 3 or 1 2;3
1333;( ( 3 and 2 ) or ( 2 or 2 ) );or and 3 2 or 2 2;2
1334;( ( 5 and 1 ) or ( 1 or 1 ) );or and 5 1 or 1 1;1
1335;( ( 2 or 3 ) and ( 1 and 1 ) );and or 2 3 and 1 1;1
1336;( ( 3 and 3 ) and ( 3 or 1 ) );and and 3 3 or 3 1;3
1337;( ( 1 and 2 ) or ( 5 and 1 ) );or and 1 2 and 5 1;1
1338;( ( 1 and 1 ) or ( 1 and 2 ) );or and 1 1 and 1 2;1
1339;( ( 4 or 5 ) and 2 );and or 4 5 2;2
1340;( ( 3 and 3 ) or ( 3 and 5 ) );or and 3 3 and 3 5;3
1341;( ( 4 and 4 ) and ( 5 or 2 ) );and and 4 4 or 5 2;4
1342;( ( 3 and 4 ) or ( 4 and 4 ) );or and 3 4 and 4 4;4
1343;( ( 2 and 1 ) or ( 1 or 1 ) );or and 2 1 or 1 1;1
1344;( ( 3 or 5 ) and ( 1 and 1 ) );and or 3 5 and 1 1;1
1345;( ( 3 or 3 ) and ( 5 or 3 ) );and or 3 3 or 5 3;3
1346;( ( 5 or 5 ) and ( 2 or 4 ) );and or 5 5 or 2 4;5
1347;( ( 2 and 5 ) or ( 2 and 2 ) );or and 2 5 and 2 2;2
1348;( ( 3 and 2 ) or ( 2 and 2 ) );or and 3 2 and 2 2;2
1349;( ( 4 and 2 ) or ( 2 or 2 ) );or and 4 2 or 2 2;2
1350;( ( 3 or 2 ) and ( 2 or 2 ) );and or 3 2 or 2 2;2
1351;( ( 4 or 4 ) and ( 4 or 4 ) );and or 4 4 or 4 4;4
1352;( ( 2 or 4 ) and ( 3 and 3 ) );and or 2 4 and 3 3;3
1353;( ( 3 and 3 ) or ( 1 and 3 ) );or and 3 3 and 1 3;3
1354;( ( 5 or 5 ) and ( 4 or 2 ) );and or 5 5 or 4 2;5
1355;( ( 4 and 4 ) or ( 4 and 5 ) );or and 4 4 and 4 5;4
1356;( ( 2 and 4 ) or ( 2 and 2 ) );or and 2 4 and 2 2;2
1357;( ( 4 or 4 ) and ( 1 or 2 ) );and or 4 4 or 1 2;4
1358;( 5 or ( 5 and 4 ) );or 5 and 5 4;5
1359;( ( 4 and 3 ) or ( 2 and 3 ) );or and 4 3 and 2 3;3
1360;( ( 2 or 5 ) and ( 2 and 2 ) );and or 2 5 and 2 2;2
1361;( ( 3 and 5 ) or ( 2 and 5 ) );or and 3 5 and 2 5;5
1362;( ( 5 or 5 ) and ( 3 or 1 ) );and or 5 5 or 3 1;5
1363;( ( 4 and 2 ) or ( 4 and 4 ) );or and 4 2 and 4 4;4
1364;( ( 5 and 4 ) or ( 1 and 4 ) );or and 5 4 and 1 4;4
1365;( ( 4 or 1 ) and ( 5 and 5 ) );and or 4 1 and 5 5;5
1366;( ( 3 and 5 ) or ( 5 and 1 ) );or and 3 5 and 5 1;5
1367;( ( 2 or 2 ) and ( 1 or 2 ) );and or 2 2 or 1 2;2
1368;( ( 4 and 3 ) or ( 3 or 3 ) );or and 4 3 or 3 3;3
1369;( ( 5 and 3 ) or ( 5 and 5 ) );or and 5 3 and 5 5;5
1370;( ( 2 or 2 ) or ( 5 and 2 ) );or or 2 2 and 5 2;2
1371;( ( 2 and 5 ) or ( 5 and 1 ) );or and 2 5 and 5 1;5
1372;( 4 or ( 4 and 4 ) );or 4 and 4 4;4
1373;( ( 3 or 3 ) and ( 2 or 5 ) );and or 3 3 or 2 5;3
1374;( ( 1 or 1 ) or ( 1 and 5 ) );or or 1 1 and 1 5;1
1375;( ( 5 and 3 ) or ( 3 and 4 ) );or and 5 3 and 3 4;3
1376;( ( 1 and 1 ) and ( 3 or 4 ) );and and 1 1 or 3 4;1
1377;( ( 5 and 3 ) or ( 3 and 2 ) );or and 5 3 and 3 2;3
1378;( ( 4 and 5 ) or ( 4 and 4 ) );or and 4 5 and 4 4;4
1379;( ( 5 and 1 ) or ( 5 and 2 ) );or and 5 1 and 5 2;5
