;infix;prefix;conclusion
2678;( 5 or 3 ) sep ( 4 and 4 );sep or 5 3 and 4 4;nnnTT,nnTTn
2679;( 5 and 4 ) sep ( 2 and 1 );sep and 5 4 and 2 1;TTnTT
2680;( 1 and 3 ) sep ( 1 and 1 );sep and 1 3 and 1 1;TnTnn
2681;( 1 and 5 ) sep ( 1 or 5 );sep and 1 5 or 1 5;TnnnT
2682;( 1 or 4 ) sep ( 3 or 4 );sep or 1 4 or 3 4;nnnTn,TnTnn
2683;( 2 and 2 ) sep ( 4 or 2 );sep and 2 2 or 4 2;nTnnn
2684;3 sep ( 2 and 1 );sep 3 and 2 1;TTTnn
2685;1 sep ( 1 or 4 );sep 1 or 1 4;Tnnnn
2686;( 3 and 3 ) sep ( 4 or 1 );sep and 3 3 or 4 1;nnTTn,TnTnn
2687;( 5 or 1 ) sep ( 1 and 4 );sep or 5 1 and 1 4;TnnTn
2688;( 3 and 3 ) sep ( 4 or 4 );sep and 3 3 or 4 4;nnTTn
2689;( 5 and 2 ) sep ( 1 or 4 );sep and 5 2 or 1 4;nTnTT,TTnnT
2690;1 sep ( 2 and 2 );sep 1 and 2 2;TTnnn
2691;5 sep ( 1 or 4 );sep 5 or 1 4;nnnTT,TnnnT
2692;( 4 or 2 ) sep ( 2 and 1 );sep or 4 2 and 2 1;TTnnn
2693;( 4 or 3 ) sep ( 1 or 4 );sep or 4 3 or 1 4;nnnTn,TnTnn
2694;( 5 and 3 ) sep ( 1 or 2 );sep and 5 3 or 1 2;nTTnT,TnTnT
2695;( 2 or 5 ) sep ( 5 or 2 );sep or 2 5 or 5 2;nnnnT,nTnnn
2696;( 1 and 1 ) sep ( 5 or 4 );sep and 1 1 or 5 4;TnnnT,TnnTn
2697;( 3 or 2 ) sep ( 1 and 1 );sep or 3 2 and 1 1;TnTnn,TTnnn
2698;( 5 or 4 ) sep ( 4 or 4 );sep or 5 4 or 4 4;nnnTn
2699;( 3 or 3 ) sep ( 2 or 4 );sep or 3 3 or 2 4;nnTTn,nTTnn
2700;( 1 and 5 ) sep ( 3 or 4 );sep and 1 5 or 3 4;TnnTT,TnTnT
2701;( 2 or 5 ) sep ( 3 or 2 );sep or 2 5 or 3 2;nnTnT,nTnnn
2702;( 4 and 5 ) sep ( 5 and 3 );sep and 4 5 and 5 3;nnTTT
2703;( 3 and 2 ) sep ( 1 and 2 );sep and 3 2 and 1 2;TTTnn
2704;( 4 or 5 ) sep ( 2 or 5 );sep or 4 5 or 2 5;nnnnT,nTnTn
2705;( 2 and 2 ) sep ( 2 and 5 );sep and 2 2 and 2 5;nTnnT
2706;( 3 and 2 ) sep ( 3 or 1 );sep and 3 2 or 3 1;nTTnn
2707;( 3 or 1 ) sep 3;sep or 3 1 3;nnTnn
2708;( 5 or 2 ) sep ( 5 or 3 );sep or 5 2 or 5 3;nnnnT,nTTnn
2709;( 3 and 5 ) sep ( 2 or 4 );sep and 3 5 or 2 4;nnTTT,nTTnT
2710;( 1 or 1 ) sep ( 5 and 1 );sep or 1 1 and 5 1;TnnnT
2711;( 5 or 2 ) sep ( 2 and 2 );sep or 5 2 and 2 2;nTnnn
2712;( 3 and 5 ) sep ( 3 or 4 );sep and 3 5 or 3 4;nnTnT
2713;( 4 and 2 ) sep ( 1 and 5 );sep and 4 2 and 1 5;TTnTT
2714;( 3 and 5 ) sep ( 3 or 3 );sep and 3 5 or 3 3;nnTnT
2715;( 4 or 2 ) sep ( 3 and 5 );sep or 4 2 and 3 5;nnTTT,nTTnT
2716;( 1 and 1 ) sep ( 2 and 3 );sep and 1 1 and 2 3;TTTnn
2717;( 3 and 2 ) sep ( 5 or 2 );sep and 3 2 or 5 2;nTTnn
2718;( 5 and 4 ) sep ( 1 or 5 );sep and 5 4 or 1 5;nnnTT
2719;4 sep ( 4 and 2 );sep 4 and 4 2;nTnTn
2720;( 5 and 4 ) sep ( 1 and 3 );sep and 5 4 and 1 3;TnTTT
2721;( 4 and 3 ) sep ( 5 or 4 );sep and 4 3 or 5 4;nnTTn
2722;( 4 and 1 ) sep ( 4 or 1 );sep and 4 1 or 4 1;TnnTn
2723;( 3 and 3 ) sep ( 4 or 2 );sep and 3 3 or 4 2;nnTTn,nTTnn
2724;( 2 or 5 ) sep ( 4 or 2 );sep or 2 5 or 4 2;nnnTT,nTnnn
2725;( 5 or 4 ) sep ( 1 and 5 );sep or 5 4 and 1 5;TnnnT
2726;( 1 and 5 ) sep ( 3 and 2 );sep and 1 5 and 3 2;TTTnT
2727;( 2 or 4 ) sep ( 1 and 2 );sep or 2 4 and 1 2;TTnnn
2728;( 5 or 3 ) sep ( 5 or 3 );sep or 5 3 or 5 3;nnnnT,nnTnn
2729;1 sep ( 4 or 3 );sep 1 or 4 3;TnnTn,TnTnn
2730;( 5 or 3 ) sep ( 4 or 1 );sep or 5 3 or 4 1;nnnTT,nnTTn,TnnnT,TnTnn
2731;( 3 or 1 ) sep 2;sep or 3 1 2;nTTnn,TTnnn
2732;( 5 and 3 ) sep ( 4 or 3 );sep and 5 3 or 4 3;nnTnT
2733;( 1 or 2 ) sep ( 4 and 5 );sep or 1 2 and 4 5;nTnTT,TnnTT
2734;( 3 or 1 ) sep 5;sep or 3 1 5;nnTnT,TnnnT
2735;( 4 and 3 ) sep ( 1 and 2 );sep and 4 3 and 1 2;TTTTn
2736;( 5 and 5 ) sep ( 4 and 3 );sep and 5 5 and 4 3;nnTTT
2737;1 sep ( 4 or 5 );sep 1 or 4 5;TnnnT,TnnTn
2738;( 2 and 5 ) sep ( 3 and 1 );sep and 2 5 and 3 1;TTTnT
2739;( 4 or 1 ) sep ( 3 or 5 );sep or 4 1 or 3 5;nnnTT,nnTTn,TnnnT,TnTnn
2740;( 5 or 1 ) sep ( 1 or 2 );sep or 5 1 or 1 2;nTnnT,Tnnnn
2741;( 1 and 5 ) sep ( 4 or 2 );sep and 1 5 or 4 2;TnnTT,TTnnT
2742;( 4 and 1 ) sep ( 5 or 2 );sep and 4 1 or 5 2;TnnTT,TTnTn
2743;( 1 and 5 ) sep ( 5 and 4 );sep and 1 5 and 5 4;TnnTT
2744;( 5 and 1 ) sep ( 1 and 5 );sep and 5 1 and 1 5;TnnnT
2745;( 2 or 2 ) sep ( 5 or 3 );sep or 2 2 or 5 3;nTnnT,nTTnn
2746;( 2 or 5 ) sep ( 3 and 5 );sep or 2 5 and 3 5;nnTnT
2747;( 3 and 5 ) sep ( 4 or 2 );sep and 3 5 or 4 2;nnTTT,nTTnT
2748;( 3 or 4 ) sep ( 4 and 2 );sep or 3 4 and 4 2;nTnTn
2749;( 1 and 4 ) sep ( 2 or 2 );sep and 1 4 or 2 2;TTnTn
2750;( 4 or 2 ) sep ( 4 or 4 );sep or 4 2 or 4 4;nnnTn
2751;( 2 and 4 ) sep ( 4 and 1 );sep and 2 4 and 4 1;TTnTn
2752;( 5 and 4 ) sep ( 1 or 2 );sep and 5 4 or 1 2;nTnTT,TnnTT
2753;( 2 and 4 ) sep ( 2 and 5 );sep and 2 4 and 2 5;nTnTT
2754;( 1 and 2 ) sep ( 3 and 2 );sep and 1 2 and 3 2;TTTnn
2755;4 sep ( 4 or 4 );sep 4 or 4 4;nnnTn
2756;( 1 and 2 ) sep ( 3 and 3 );sep and 1 2 and 3 3;TTTnn
2757;( 5 and 2 ) sep ( 2 and 4 );sep and 5 2 and 2 4;nTnTT
2758;( 1 or 2 ) sep ( 2 and 4 );sep or 1 2 and 2 4;nTnTn
2759;( 1 or 2 ) sep ( 5 and 2 );sep or 1 2 and 5 2;nTnnT
2760;2 sep ( 5 or 1 );sep 2 or 5 1;nTnnT,TTnnn
2761;3 sep ( 2 or 3 );sep 3 or 2 3;nnTnn
2762;( 2 and 3 ) sep ( 5 or 2 );sep and 2 3 or 5 2;nTTnn
2763;( 4 and 3 ) sep ( 1 or 1 );sep and 4 3 or 1 1;TnTTn
2764;( 4 or 4 ) sep ( 1 and 3 );sep or 4 4 and 1 3;TnTTn
2765;( 2 or 3 ) sep ( 1 and 4 );sep or 2 3 and 1 4;TnTTn,TTnTn
2766;( 2 and 3 ) sep ( 1 and 4 );sep and 2 3 and 1 4;TTTTn
2767;( 4 and 2 ) sep ( 4 or 1 );sep and 4 2 or 4 1;nTnTn
2768;( 5 and 1 ) sep ( 3 and 3 );sep and 5 1 and 3 3;TnTnT
2769;( 3 and 3 ) sep ( 1 and 1 );sep and 3 3 and 1 1;TnTnn
2770;( 5 and 1 ) sep ( 4 or 2 );sep and 5 1 or 4 2;TnnTT,TTnnT
2771;( 3 or 1 ) sep ( 2 or 1 );sep or 3 1 or 2 1;nTTnn,Tnnnn
2772;( 3 and 3 ) sep ( 2 or 5 );sep and 3 3 or 2 5;nnTnT,nTTnn
2773;( 4 and 2 ) sep ( 5 or 4 );sep and 4 2 or 5 4;nTnTn
2774;( 4 or 4 ) sep 4;sep or 4 4 4;nnnTn
2775;( 2 or 1 ) sep ( 5 and 2 );sep or 2 1 and 5 2;nTnnT
2776;( 5 and 4 ) sep ( 1 and 5 );sep and 5 4 and 1 5;TnnTT
2777;( 3 and 2 ) sep ( 3 or 2 );sep and 3 2 or 3 2;nTTnn
2778;( 5 or 1 ) sep ( 3 or 2 );sep or 5 1 or 3 2;nnTnT,nTnnT,TnTnn,TTnnn
2779;( 3 and 5 ) sep ( 5 or 2 );sep and 3 5 or 5 2;nnTnT
2780;( 2 or 1 ) sep ( 3 and 3 );sep or 2 1 and 3 3;nTTnn,TnTnn
2781;( 2 and 1 ) sep ( 5 or 2 );sep and 2 1 or 5 2;TTnnn
2782;( 3 or 4 ) sep ( 3 and 5 );sep or 3 4 and 3 5;nnTnT
2783;( 4 and 2 ) sep not 3;sep and 4 2 not 3;nTFTn
2784;( 3 or 4 ) sep ( 5 or 4 );sep or 3 4 or 5 4;nnnTn,nnTnT
2785;3 sep ( 5 and 5 );sep 3 and 5 5;nnTnT
2786;( 1 or 3 ) sep ( 2 and 5 );sep or 1 3 and 2 5;nTTnT,TTnnT
2787;( 2 or 2 ) sep ( 4 and 3 );sep or 2 2 and 4 3;nTTTn
2788;( 1 or 5 ) sep ( 5 and 3 );sep or 1 5 and 5 3;nnTnT
2789;( 3 and 5 ) sep ( 5 and 2 );sep and 3 5 and 5 2;nTTnT
2790;( 3 or 3 ) sep ( 5 or 2 );sep or 3 3 or 5 2;nnTnT,nTTnn
2791;( 3 and 3 ) sep ( 1 or 5 );sep and 3 3 or 1 5;nnTnT,TnTnn
2792;( 1 or 2 ) sep ( 5 or 2 );sep or 1 2 or 5 2;nTnnn,TnnnT
2793;( 1 and 3 ) sep ( 4 and 1 );sep and 1 3 and 4 1;TnTTn
2794;( 1 and 3 ) sep ( 1 or 3 );sep and 1 3 or 1 3;TnTnn
2795;( 1 and 4 ) sep ( 4 and 5 );sep and 1 4 and 4 5;TnnTT
2796;( 5 and 5 ) sep not 4;sep and 5 5 not 4;nnnFT
2797;( 5 and 2 ) sep ( 4 or 3 );sep and 5 2 or 4 3;nTnTT,nTTnT
2798;( 1 and 1 ) sep ( 1 and 4 );sep and 1 1 and 1 4;TnnTn
2799;( 4 or 4 ) sep ( 2 and 4 );sep or 4 4 and 2 4;nTnTn
2800;( 5 or 5 ) sep ( 2 and 1 );sep or 5 5 and 2 1;TTnnT
2801;( 1 or 4 ) sep ( 3 or 5 );sep or 1 4 or 3 5;nnnTT,nnTTn,TnnnT,TnTnn
2802;( 2 or 2 ) sep ( 4 and 5 );sep or 2 2 and 4 5;nTnTT
2803;( 4 and 1 ) sep ( 5 or 1 );sep and 4 1 or 5 1;TnnTn
2804;( 4 and 2 ) sep ( 1 and 4 );sep and 4 2 and 1 4;TTnTn
2805;( 4 and 1 ) sep ( 4 or 2 );sep and 4 1 or 4 2;TnnTn
2806;( 2 and 3 ) sep 3;sep and 2 3 3;nTTnn
2807;( 2 or 2 ) sep ( 2 and 5 );sep or 2 2 and 2 5;nTnnT
2808;( 2 or 4 ) sep ( 5 and 3 );sep or 2 4 and 5 3;nnTTT,nTTnT
2809;( 1 or 4 ) sep ( 3 and 4 );sep or 1 4 and 3 4;nnTTn
2810;( 3 or 2 ) sep ( 1 or 2 );sep or 3 2 or 1 2;nTnnn,TnTnn
2811;( 4 and 5 ) sep ( 1 or 4 );sep and 4 5 or 1 4;nnnTT
2812;( 2 and 2 ) sep 4;sep and 2 2 4;nTnTn
2813;( 2 or 4 ) sep ( 4 and 1 );sep or 2 4 and 4 1;TnnTn
2814;( 2 or 3 ) sep ( 1 or 5 );sep or 2 3 or 1 5;nnTnT,nTnnT,TnTnn,TTnnn
2815;( 4 and 5 ) sep ( 1 or 3 );sep and 4 5 or 1 3;nnTTT,TnnTT
2816;( 3 and 1 ) sep ( 2 or 2 );sep and 3 1 or 2 2;TTTnn
2817;( 2 and 3 ) sep ( 3 and 2 );sep and 2 3 and 3 2;nTTnn
2818;( 1 or 1 ) sep ( 4 and 5 );sep or 1 1 and 4 5;TnnTT
2819;( 2 or 4 ) sep ( 5 and 4 );sep or 2 4 and 5 4;nnnTT
2820;( 3 and 2 ) sep ( 1 and 1 );sep and 3 2 and 1 1;TTTnn
2821;( 5 and 5 ) sep ( 2 and 2 );sep and 5 5 and 2 2;nTnnT
2822;( 1 and 4 ) sep ( 2 and 5 );sep and 1 4 and 2 5;TTnTT
2823;( 4 and 1 ) sep ( 1 and 3 );sep and 4 1 and 1 3;TnTTn
2824;not 3 sep ( 2 and 4 );sep not 3 and 2 4;nTFTn
2825;( 2 or 3 ) sep 3;sep or 2 3 3;nnTnn
2826;( 5 or 5 ) sep ( 4 or 2 );sep or 5 5 or 4 2;nnnTT,nTnnT
2827;( 2 and 3 ) sep ( 4 or 1 );sep and 2 3 or 4 1;nTTTn,TTTnn
2828;( 2 or 5 ) sep ( 4 or 4 );sep or 2 5 or 4 4;nnnTT,nTnTn
2829;( 2 and 1 ) sep ( 1 or 3 );sep and 2 1 or 1 3;TTnnn
2830;( 1 or 3 ) sep ( 2 and 2 );sep or 1 3 and 2 2;nTTnn,TTnnn
2831;( 2 or 4 ) sep 4;sep or 2 4 4;nnnTn
2832;1 sep ( 1 and 2 );sep 1 and 1 2;TTnnn
2833;( 3 or 5 ) sep not 4;sep or 3 5 not 4;nnnFT,nnTFn
2834;( 4 and 1 ) sep 2;sep and 4 1 2;TTnTn
2835;( 2 and 3 ) sep ( 1 or 2 );sep and 2 3 or 1 2;nTTnn
2836;( 1 or 3 ) sep ( 5 or 3 );sep or 1 3 or 5 3;nnTnn,TnnnT
2837;( 4 and 1 ) sep ( 4 and 3 );sep and 4 1 and 4 3;TnTTn
2838;( 4 and 2 ) sep ( 2 or 5 );sep and 4 2 or 2 5;nTnTn
2839;( 5 or 3 ) sep ( 3 and 4 );sep or 5 3 and 3 4;nnTTn
2840;( 2 or 5 ) sep 3;sep or 2 5 3;nnTnT,nTTnn
2841;( 2 and 3 ) sep ( 5 and 4 );sep and 2 3 and 5 4;nTTTT
2842;( 5 and 3 ) sep ( 1 and 2 );sep and 5 3 and 1 2;TTTnT
2843;( 4 and 5 ) sep ( 5 and 5 );sep and 4 5 and 5 5;nnnTT
2844;( 5 or 2 ) sep ( 4 or 2 );sep or 5 2 or 4 2;nnnTT,nTnnn
2845;( 4 or 5 ) sep ( 4 and 2 );sep or 4 5 and 4 2;nTnTn
2846;( 2 or 3 ) sep ( 5 and 2 );sep or 2 3 and 5 2;nTnnT
2847;( 5 and 1 ) sep ( 5 or 1 );sep and 5 1 or 5 1;TnnnT
2848;( 1 or 2 ) sep ( 2 and 2 );sep or 1 2 and 2 2;nTnnn
2849;( 4 and 3 ) sep ( 2 and 4 );sep and 4 3 and 2 4;nTTTn
2850;( 5 or 4 ) sep ( 5 and 2 );sep or 5 4 and 5 2;nTnnT
2851;( 4 or 1 ) sep ( 2 or 1 );sep or 4 1 or 2 1;nTnTn,Tnnnn
2852;( 4 and 5 ) sep ( 1 and 3 );sep and 4 5 and 1 3;TnTTT
2853;4 sep ( 4 and 3 );sep 4 and 4 3;nnTTn
2854;( 5 or 2 ) sep ( 5 and 1 );sep or 5 2 and 5 1;TnnnT
2855;( 1 and 3 ) sep ( 5 or 2 );sep and 1 3 or 5 2;TnTnT,TTTnn
2856;( 5 and 1 ) sep ( 2 and 5 );sep and 5 1 and 2 5;TTnnT
2857;( 5 and 3 ) sep ( 4 and 4 );sep and 5 3 and 4 4;nnTTT
2858;( 5 and 2 ) sep 2;sep and 5 2 2;nTnnT
2859;( 1 and 4 ) sep ( 3 and 2 );sep and 1 4 and 3 2;TTTTn
2860;( 5 and 3 ) sep ( 3 or 5 );sep and 5 3 or 3 5;nnTnT
2861;( 5 and 2 ) sep ( 3 or 1 );sep and 5 2 or 3 1;nTTnT,TTnnT
2862;( 5 or 5 ) sep ( 2 and 2 );sep or 5 5 and 2 2;nTnnT
2863;( 4 or 2 ) sep ( 3 or 1 );sep or 4 2 or 3 1;nnTTn,nTTnn,TnnTn,TTnnn
2864;( 4 and 3 ) sep ( 5 and 3 );sep and 4 3 and 5 3;nnTTT
2865;( 1 or 3 ) sep ( 1 or 5 );sep or 1 3 or 1 5;nnTnT,Tnnnn
2866;( 2 and 4 ) sep ( 2 or 4 );sep and 2 4 or 2 4;nTnTn
2867;( 1 or 3 ) sep ( 3 or 4 );sep or 1 3 or 3 4;nnTnn,TnnTn
2868;5 sep ( 5 or 5 );sep 5 or 5 5;nnnnT
2869;( 2 and 5 ) sep 5;sep and 2 5 5;nTnnT
2870;( 4 or 4 ) sep ( 2 and 3 );sep or 4 4 and 2 3;nTTTn
2871;( 4 and 2 ) sep ( 5 or 2 );sep and 4 2 or 5 2;nTnTn
2872;( 2 or 2 ) sep ( 3 and 1 );sep or 2 2 and 3 1;TTTnn
2873;( 1 and 1 ) sep ( 1 and 5 );sep and 1 1 and 1 5;TnnnT
2874;( 1 and 4 ) sep ( 5 or 5 );sep and 1 4 or 5 5;TnnTT
2875;( 3 or 2 ) sep ( 5 or 2 );sep or 3 2 or 5 2;nnTnT,nTnnn
2876;( 5 or 5 ) sep ( 4 and 3 );sep or 5 5 and 4 3;nnTTT
2877;( 1 and 2 ) sep ( 5 or 3 );sep and 1 2 or 5 3;TTnnT,TTTnn
2878;( 2 and 4 ) sep ( 2 and 1 );sep and 2 4 and 2 1;TTnTn
2879;( 3 and 5 ) sep ( 4 or 5 );sep and 3 5 or 4 5;nnTnT
2880;( 1 or 5 ) sep ( 3 or 1 );sep or 1 5 or 3 1;nnTnT,Tnnnn
2881;( 3 or 2 ) sep ( 1 or 5 );sep or 3 2 or 1 5;nnTnT,nTnnT,TnTnn,TTnnn
2882;( 2 or 4 ) sep ( 3 and 3 );sep or 2 4 and 3 3;nnTTn,nTTnn
2883;( 1 and 5 ) sep ( 3 and 4 );sep and 1 5 and 3 4;TnTTT
2884;( 1 or 4 ) sep 4;sep or 1 4 4;nnnTn
2885;( 3 or 3 ) sep ( 4 and 1 );sep or 3 3 and 4 1;TnTTn
2886;( 1 or 2 ) sep ( 3 or 4 );sep or 1 2 or 3 4;nTnTn,nTTnn,TnnTn,TnTnn
2887;( 4 and 1 ) sep ( 2 and 1 );sep and 4 1 and 2 1;TTnTn
2888;( 1 or 4 ) sep ( 1 or 3 );sep or 1 4 or 1 3;nnTTn,Tnnnn
2889;( 1 or 5 ) sep 5;sep or 1 5 5;nnnnT
2890;( 4 and 4 ) sep ( 3 or 1 );sep and 4 4 or 3 1;nnTTn,TnnTn
2891;( 5 and 3 ) sep ( 3 or 1 );sep and 5 3 or 3 1;nnTnT
2892;( 4 and 5 ) sep ( 5 or 3 );sep and 4 5 or 5 3;nnnTT
2893;( 3 or 1 ) sep ( 4 and 2 );sep or 3 1 and 4 2;nTTTn,TTnTn
2894;( 4 and 4 ) sep ( 1 or 2 );sep and 4 4 or 1 2;nTnTn,TnnTn
2895;( 2 or 3 ) sep ( 2 and 5 );sep or 2 3 and 2 5;nTnnT
2896;( 4 and 1 ) sep 4;sep and 4 1 4;TnnTn
2897;( 5 and 4 ) sep ( 5 or 1 );sep and 5 4 or 5 1;nnnTT
2898;( 5 or 5 ) sep ( 3 and 2 );sep or 5 5 and 3 2;nTTnT
2899;( 4 and 4 ) sep ( 4 or 4 );sep and 4 4 or 4 4;nnnTn
2900;( 4 and 4 ) sep ( 1 or 3 );sep and 4 4 or 1 3;nnTTn,TnnTn
2901;( 4 or 1 ) sep ( 4 and 4 );sep or 4 1 and 4 4;nnnTn
2902;( 1 and 3 ) sep ( 2 and 5 );sep and 1 3 and 2 5;TTTnT
2903;( 2 and 5 ) sep ( 5 and 5 );sep and 2 5 and 5 5;nTnnT
2904;( 4 and 3 ) sep ( 4 or 3 );sep and 4 3 or 4 3;nnTTn
2905;( 5 and 1 ) sep ( 3 and 1 );sep and 5 1 and 3 1;TnTnT
2906;( 1 or 1 ) sep ( 5 or 5 );sep or 1 1 or 5 5;TnnnT
2907;( 3 or 1 ) sep ( 1 or 5 );sep or 3 1 or 1 5;nnTnT,Tnnnn
2908;( 5 and 4 ) sep ( 5 and 4 );sep and 5 4 and 5 4;nnnTT
2909;( 2 or 2 ) sep ( 4 or 2 );sep or 2 2 or 4 2;nTnnn
2910;( 2 or 5 ) sep ( 5 or 4 );sep or 2 5 or 5 4;nnnnT,nTnTn
2911;( 1 and 1 ) sep ( 3 and 5 );sep and 1 1 and 3 5;TnTnT
2912;( 3 or 2 ) sep ( 3 or 5 );sep or 3 2 or 3 5;nnTnn,nTnnT
2913;( 4 and 2 ) sep ( 3 or 2 );sep and 4 2 or 3 2;nTnTn
2914;( 2 or 4 ) sep ( 2 or 1 );sep or 2 4 or 2 1;nTnnn,TnnTn
2915;( 2 or 5 ) sep ( 3 and 1 );sep or 2 5 and 3 1;TnTnT,TTTnn
2916;( 5 and 2 ) sep ( 2 or 1 );sep and 5 2 or 2 1;nTnnT
2917;( 3 or 4 ) sep 4;sep or 3 4 4;nnnTn
2918;( 2 and 4 ) sep ( 3 or 3 );sep and 2 4 or 3 3;nTTTn
2919;( 4 and 1 ) sep ( 2 and 4 );sep and 4 1 and 2 4;TTnTn
2920;( 4 and 2 ) sep ( 2 or 1 );sep and 4 2 or 2 1;nTnTn
2921;( 5 or 5 ) sep ( 3 and 1 );sep or 5 5 and 3 1;TnTnT
2922;( 4 and 5 ) sep ( 4 or 2 );sep and 4 5 or 4 2;nnnTT
2923;( 2 and 1 ) sep ( 3 or 4 );sep and 2 1 or 3 4;TTnTn,TTTnn
2924;( 5 or 3 ) sep ( 1 and 3 );sep or 5 3 and 1 3;TnTnn
2925;( 5 and 2 ) sep ( 5 and 2 );sep and 5 2 and 5 2;nTnnT
2926;( 4 or 4 ) sep ( 5 and 4 );sep or 4 4 and 5 4;nnnTT
2927;( 1 and 1 ) sep ( 5 and 2 );sep and 1 1 and 5 2;TTnnT
2928;( 4 and 1 ) sep ( 4 or 3 );sep and 4 1 or 4 3;TnnTn
2929;( 1 and 1 ) sep ( 4 or 5 );sep and 1 1 or 4 5;TnnnT,TnnTn
2930;( 4 and 3 ) sep ( 5 or 1 );sep and 4 3 or 5 1;nnTTT,TnTTn
2931;( 4 and 5 ) sep ( 5 or 4 );sep and 4 5 or 5 4;nnnTT
2932;( 1 and 4 ) sep ( 2 and 2 );sep and 1 4 and 2 2;TTnTn
2933;( 5 or 2 ) sep ( 2 and 1 );sep or 5 2 and 2 1;TTnnn
2934;( 1 or 5 ) sep ( 2 or 1 );sep or 1 5 or 2 1;nTnnT,Tnnnn
2935;( 3 or 1 ) sep ( 5 and 1 );sep or 3 1 and 5 1;TnnnT
2936;3 sep ( 4 and 4 );sep 3 and 4 4;nnTTn
2937;( 1 and 3 ) sep ( 3 and 3 );sep and 1 3 and 3 3;TnTnn
2938;( 1 and 5 ) sep ( 1 or 1 );sep and 1 5 or 1 1;TnnnT
2939;( 5 or 4 ) sep 1;sep or 5 4 1;TnnnT,TnnTn
2940;( 2 or 1 ) sep ( 3 or 3 );sep or 2 1 or 3 3;nTTnn,TnTnn
2941;( 4 or 5 ) sep ( 3 and 1 );sep or 4 5 and 3 1;TnTnT,TnTTn
2942;( 1 or 5 ) sep ( 4 and 2 );sep or 1 5 and 4 2;nTnTT,TTnTn
2943;( 5 or 2 ) sep ( 1 or 3 );sep or 5 2 or 1 3;nnTnT,nTTnn,TnnnT,TTnnn
2944;( 4 or 1 ) sep ( 3 and 2 );sep or 4 1 and 3 2;nTTTn,TTTnn
2945;( 2 and 3 ) sep ( 4 and 5 );sep and 2 3 and 4 5;nTTTT
2946;( 4 or 1 ) sep ( 3 or 1 );sep or 4 1 or 3 1;nnTTn,Tnnnn
2947;( 4 and 1 ) sep ( 2 or 1 );sep and 4 1 or 2 1;TnnTn
2948;( 2 or 1 ) sep ( 5 or 5 );sep or 2 1 or 5 5;nTnnT,TnnnT
2949;( 2 and 3 ) sep ( 5 and 5 );sep and 2 3 and 5 5;nTTnT
2950;( 2 or 2 ) sep ( 1 or 4 );sep or 2 2 or 1 4;nTnTn,TTnnn
2951;( 1 or 1 ) sep ( 5 and 3 );sep or 1 1 and 5 3;TnTnT
2952;( 2 or 1 ) sep ( 1 or 2 );sep or 2 1 or 1 2;nTnnn,Tnnnn
2953;( 1 or 4 ) sep ( 5 or 2 );sep or 1 4 or 5 2;nnnTT,nTnTn,TnnnT,TTnnn
2954;( 3 and 1 ) sep ( 5 and 5 );sep and 3 1 and 5 5;TnTnT
2955;( 5 and 3 ) sep ( 3 and 2 );sep and 5 3 and 3 2;nTTnT
2956;( 4 and 2 ) sep ( 4 or 5 );sep and 4 2 or 4 5;nTnTn
2957;( 1 and 2 ) sep ( 2 and 5 );sep and 1 2 and 2 5;TTnnT
2958;( 4 and 1 ) sep ( 4 and 2 );sep and 4 1 and 4 2;TTnTn
2959;( 3 and 1 ) sep ( 2 or 5 );sep and 3 1 or 2 5;TnTnT,TTTnn
2960;( 1 or 1 ) sep ( 1 or 5 );sep or 1 1 or 1 5;Tnnnn
2961;( 2 and 3 ) sep ( 1 and 1 );sep and 2 3 and 1 1;TTTnn
2962;( 1 or 1 ) sep ( 4 or 3 );sep or 1 1 or 4 3;TnnTn,TnTnn
2963;( 2 and 3 ) sep ( 2 and 4 );sep and 2 3 and 2 4;nTTTn
2964;( 1 or 1 ) sep ( 5 and 4 );sep or 1 1 and 5 4;TnnTT
2965;( 4 and 5 ) sep ( 3 or 4 );sep and 4 5 or 3 4;nnnTT
2966;( 4 or 2 ) sep ( 2 and 4 );sep or 4 2 and 2 4;nTnTn
2967;( 1 and 1 ) sep ( 2 and 4 );sep and 1 1 and 2 4;TTnTn
2968;( 4 or 4 ) sep ( 4 or 2 );sep or 4 4 or 4 2;nnnTn
2969;( 2 and 2 ) sep 1;sep and 2 2 1;TTnnn
2970;( 4 or 2 ) sep ( 4 and 4 );sep or 4 2 and 4 4;nnnTn
2971;( 5 or 2 ) sep ( 5 or 2 );sep or 5 2 or 5 2;nnnnT,nTnnn
2972;( 2 and 1 ) sep ( 3 and 3 );sep and 2 1 and 3 3;TTTnn
2973;( 5 and 3 ) sep 5;sep and 5 3 5;nnTnT
2974;( 4 and 5 ) sep ( 2 or 2 );sep and 4 5 or 2 2;nTnTT
2975;( 4 or 4 ) sep ( 2 and 2 );sep or 4 4 and 2 2;nTnTn
2976;( 5 or 1 ) sep ( 1 and 1 );sep or 5 1 and 1 1;Tnnnn
2977;( 1 and 1 ) sep ( 3 and 1 );sep and 1 1 and 3 1;TnTnn
2978;( 2 and 2 ) sep ( 5 or 3 );sep and 2 2 or 5 3;nTnnT,nTTnn
2979;( 1 and 4 ) sep ( 2 and 4 );sep and 1 4 and 2 4;TTnTn
2980;( 5 or 1 ) sep ( 3 and 4 );sep or 5 1 and 3 4;nnTTT,TnTTn
